note_on,time,velocity,instrument,duration
98,59.275,14,drums,0.10000000000000142
98,59.413636363636364,127,drums,0.09999999999999432
98,59.54090909090909,127,drums,0.10000000000000142
98,59.584090909090904,55,drums,0.056818181818186986
98,59.72272727272727,106,drums,0.10000000000000142
98,59.87272727272727,127,drums,0.10000000000000142
98,60.02045454545454,67,drums,0.10000000000000142
98,60.17045454545454,16,drums,0.10000000000000142
98,60.320454545454545,127,drums,0.09999999999999432
98,60.47954545454545,50,drums,0.10000000000000142
98,60.62954545454545,21,drums,0.10000000000000142
98,60.768181818181816,127,drums,0.10000000000000142
98,60.918181818181814,126,drums,0.10000000000000142
98,61.07727272727272,17,drums,0.10000000000000142
98,61.215909090909086,127,drums,0.10000000000000142
98,61.375,69,drums,0.09999999999999432
98,61.525,20,drums,0.10000000000000142
98,61.675,16,drums,0.10000000000000142
98,61.824999999999996,127,drums,0.10000000000000142
98,61.97272727272727,71,drums,0.10000000000000142
98,62.12272727272727,108,drums,0.10000000000000142
98,62.28181818181818,17,drums,0.09999999999999432
98,62.43181818181818,21,drums,0.10000000000000142
98,62.58181818181818,15,drums,0.10000000000000142
98,62.720454545454544,127,drums,0.10000000000000142
98,62.87954545454545,56,drums,0.10000000000000142
98,63.02954545454545,17,drums,0.10000000000000142
98,63.168181818181814,127,drums,0.10000000000000142
98,63.32727272727272,122,drums,0.10000000000000142
98,63.47727272727273,15,drums,0.09999999999999432
98,63.615909090909085,127,drums,0.10000000000000142
98,63.775,67,drums,0.10000000000000142
98,63.925,22,drums,0.09999999999999432
98,64.075,17,drums,0.09999999999999432
98,64.225,127,drums,0.10000000000000853
98,64.37272727272727,72,drums,0.09999999999999432
98,64.52272727272727,106,drums,0.10000000000000853
98,64.68181818181817,15,drums,0.10000000000000853
98,64.83181818181818,20,drums,0.09999999999999432
98,64.98181818181818,19,drums,0.09999999999999432
98,65.12045454545454,127,drums,0.10000000000000853
98,65.27954545454546,64,drums,0.09999999999999432
98,65.42954545454545,18,drums,0.10000000000000853
98,65.56818181818181,127,drums,0.10000000000000853
