pitch,velocity,duration,pos,boundary,bar,instrument,song_id,velocity_bucket,duration_bucket
60,100,0.5772727272727273,765,1,4,DL_Remix_Guitar,DL_Remix_Guitar,6,9
53,100,0.1,444,1,5,DL_Remix_Guitar,DL_Remix_Guitar,6,2
55,100,0.2590909090909091,545,0,5,DL_Remix_Guitar,DL_Remix_Guitar,6,4
60,100,0.2590909090909091,849,1,5,DL_Remix_Guitar,DL_Remix_Guitar,6,4
57,100,0.4,150,1,6,DL_Remix_Guitar,DL_Remix_Guitar,6,6
60,100,0.11818181818181818,360,1,6,DL_Remix_Guitar,DL_Remix_Guitar,6,2
56,100,0.2409090909090909,399,0,6,DL_Remix_Guitar,DL_Remix_Guitar,6,4
60,100,0.1,458,0,6,DL_Remix_Guitar,DL_Remix_Guitar,6,2
57,100,0.18181818181818182,708,1,6,DL_Remix_Guitar,DL_Remix_Guitar,6,3
52,100,0.36363636363636365,795,0,6,DL_Remix_Guitar,DL_Remix_Guitar,6,6
52,100,0.42272727272727273,4,1,7,DL_Remix_Guitar,DL_Remix_Guitar,6,7
55,100,0.3,726,1,7,DL_Remix_Guitar,DL_Remix_Guitar,6,5
57,100,0.11818181818181818,836,1,7,DL_Remix_Guitar,DL_Remix_Guitar,6,2
57,100,0.4590909090909091,84,1,8,DL_Remix_Guitar,DL_Remix_Guitar,6,7
57,100,0.21818181818181817,338,1,8,DL_Remix_Guitar,DL_Remix_Guitar,6,3
57,100,0.18181818181818182,400,0,8,DL_Remix_Guitar,DL_Remix_Guitar,6,3
57,100,0.1409090909090909,462,0,8,DL_Remix_Guitar,DL_Remix_Guitar,6,2
57,100,0.6818181818181818,563,0,8,DL_Remix_Guitar,DL_Remix_Guitar,6,11
56,100,0.12272727272727273,761,1,8,DL_Remix_Guitar,DL_Remix_Guitar,6,2
60,100,0.1409090909090909,56,1,9,DL_Remix_Guitar,DL_Remix_Guitar,6,2
55,100,0.1,211,1,9,DL_Remix_Guitar,DL_Remix_Guitar,6,2
55,100,0.1409090909090909,426,1,9,DL_Remix_Guitar,DL_Remix_Guitar,6,2
53,100,0.3,804,1,9,DL_Remix_Guitar,DL_Remix_Guitar,6,5
53,100,0.16363636363636364,48,1,10,DL_Remix_Guitar,DL_Remix_Guitar,6,3
53,100,0.12272727272727273,101,0,10,DL_Remix_Guitar,DL_Remix_Guitar,6,2
58,100,0.2409090909090909,756,1,10,DL_Remix_Guitar,DL_Remix_Guitar,6,4
53,100,0.3,668,1,11,DL_Remix_Guitar,DL_Remix_Guitar,6,5
53,100,0.16363636363636364,752,0,11,DL_Remix_Guitar,DL_Remix_Guitar,6,3
53,100,0.4,826,0,11,DL_Remix_Guitar,DL_Remix_Guitar,6,6
60,100,0.1590909090909091,61,1,12,DL_Remix_Guitar,DL_Remix_Guitar,6,3
53,100,0.21818181818181817,96,0,12,DL_Remix_Guitar,DL_Remix_Guitar,6,3
53,100,0.2,163,0,12,DL_Remix_Guitar,DL_Remix_Guitar,6,3
52,100,0.3181818181818182,316,1,12,DL_Remix_Guitar,DL_Remix_Guitar,6,5
52,100,0.2,493,1,12,DL_Remix_Guitar,DL_Remix_Guitar,6,3
52,100,0.2409090909090909,625,1,12,DL_Remix_Guitar,DL_Remix_Guitar,6,4
52,100,0.3,685,0,12,DL_Remix_Guitar,DL_Remix_Guitar,6,5
52,100,0.3,44,1,13,DL_Remix_Guitar,DL_Remix_Guitar,6,5
52,100,0.1409090909090909,132,0,13,DL_Remix_Guitar,DL_Remix_Guitar,6,2
52,100,0.22272727272727272,180,0,13,DL_Remix_Guitar,DL_Remix_Guitar,6,4
57,100,0.18181818181818182,355,1,13,DL_Remix_Guitar,DL_Remix_Guitar,6,3
57,100,0.1,519,1,13,DL_Remix_Guitar,DL_Remix_Guitar,6,2
57,100,0.740909090909091,801,1,13,DL_Remix_Guitar,DL_Remix_Guitar,6,12
57,100,0.8818181818181818,123,1,14,DL_Remix_Guitar,DL_Remix_Guitar,6,14
74,100,0.5227272727272727,321,1,14,DL_Remix_Guitar,DL_Remix_Guitar,6,8
74,100,0.12272727272727273,510,1,14,DL_Remix_Guitar,DL_Remix_Guitar,6,2
52,100,0.5590909090909091,611,0,14,DL_Remix_Guitar,DL_Remix_Guitar,6,9
52,100,0.18181818181818182,25,1,15,DL_Remix_Guitar,DL_Remix_Guitar,6,3
52,100,0.5,233,1,15,DL_Remix_Guitar,DL_Remix_Guitar,6,8
